station_cd,station_name,lon,lat
1141510,近江塩津,136.151236,35.53978
1150818,亀山,136.450451,34.850103
1150904,柘植,136.255704,34.846993
1151111,草津,135.962744,35.022913
1160119,山科,135.816647,34.992636
1160120,京都,135.757748,34.985465
1160213,新大阪,135.501852,34.734136
1160214,大阪,135.495188,34.702398
1160303,尼崎,135.431685,34.731791
1160702,木津,135.824794,34.735962
1160704,奈良,135.818935,34.680482
1160708,王寺,135.704005,34.597448
1160716,加美,135.566939,34.626888
1160719,天王寺,135.514124,34.647243
1160721,今宮,135.492975,34.654156
1160722,ＪＲ難波,135.495265,34.666438
1160802,兵庫,135.164706,34.668343
1160816,加古川,134.839447,34.767666
1160821,姫路,134.690769,34.827659
1160905,相生,134.47341,34.818052
1160915,東岡山,133.988103,34.685633
1160917,岡山,133.918552,34.666572
1161005,倉敷,133.765473,34.601567
1161014,福山,133.361429,34.489291
1161020,三原,133.083049,34.400486
1161112,海田市,132.530542,34.372089
1161115,広島,132.475593,34.397446
1161116,横川,132.45045,34.410173
1161128,岩国,132.225631,34.171828
1161215,櫛ケ浜,131.829079,34.031002
1161224,新山口,131.39657,34.093255
1161228,宇部,131.221691,34.003017
1161229,小野田,131.185605,34.007877
1161230,厚狭,131.159965,34.053361
1161235,幡生,130.92734,33.981592
1161237,門司,130.933438,33.904309
1161302,和田岬,135.174268,34.657278
1161511,綾部,135.251896,35.302188
1161514,福知山,135.118564,35.296143
1161519,和田山,134.85137,35.34141
1161619,鳥取,134.225901,35.493953
1161640,伯耆大山,133.384216,35.430142
1161642,米子,133.33657,35.42327
1161722,放出,135.563296,34.688103
1161723,鴫野,135.544995,34.692769
1161724,京橋,135.534253,34.696047
1162307,西九条,135.466779,34.68269
1162309,福島,135.486563,34.697167
1162404,桜島,135.432136,34.662065
1162614,鳳,135.458734,34.531674
1162626,日根野,135.331309,34.39075
1162635,和歌山,135.191454,34.232436
1162702,東羽衣,135.442824,34.535029
1162803,関西空港,135.243419,34.436
1163004,谷川,135.049666,35.082724
1163410,東津山,134.031818,35.058676
1163411,津山,134.003477,35.054511
1163425,新見,133.45674,34.987232
1163606,高田,135.745033,34.515916
1151041,新宮,135.994099,33.725119
1164003,和歌山市,135.166731,34.236717
1170110,宍道,132.909224,35.406925
1170145,益田,131.838932,34.678311
1170217,長門市,131.185722,34.375417
1170307,総社,133.738007,34.673534
1170319,備中神代,133.40079,34.994571
1170516,境港,133.222762,35.545002
1170618,備後落合,133.148296,35.001167
1170908,茶屋町,133.825906,34.57694
1170915,宇野,133.953706,34.495035
1171006,宇多津,133.813686,34.306271
1171423,塩町,132.913863,34.774265
1171715,あき亀山,132.4959,34.517264
1172116,居能,131.228161,33.96706
1172213,仙崎,131.198904,34.387841
1172305,雀田,131.186951,33.960743
1172312,長門本山,131.173213,33.942755
